aro_accession,aro_name,amr_gene_family,drug_class,mechanism,hierarchy_node
"aac(3)-Ib,aac(6')-Ib''",bifunctional aminoglycoside N-acetyltransferase AAC(3)-Ib/aminoglycoside N-acetyltransferase AAC(6')-Ib'',nan,AMINOGLYCOSIDE|GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NA,"aac(3)-Ib,aac(6')-Ib''"
aac(3)-Ic,aminoglycoside N-acetyltransferase AAC(3)-Ic,aminoglycoside N-acetyltransferase AAC(3)-Ic,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-Ic
aac(3)-Id,aminoglycoside N-acetyltransferase AAC(3)-Id,aminoglycoside N-acetyltransferase AAC(3)-Id,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-Id
aac(3)-If,aminoglycoside N-acetyltransferase AAC(3)-If,aminoglycoside N-acetyltransferase AAC(3)-If,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-If
aac(3)-Ig,aminoglycoside N-acetyltransferase AAC(3)-Ig,aminoglycoside N-acetyltransferase AAC(3)-Ig,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-Ig
aac(3)-Ih,aminoglycoside N-acetyltransferase AAC(3)-Ih,aminoglycoside N-acetyltransferase AAC(3)-Ih,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-Ih
aac(3)-Ii,aminoglycoside N-acetyltransferase AAC(3)-Ii,aminoglycoside N-acetyltransferase AAC(3)-Ii,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-Ii
aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,AMINOGLYCOSIDE,n-acetyltransferase,aac(3)-VIII
aac(3)-VIIIa,aminoglycoside N-acetyltransferase AAC(3)-VIIIa,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(3)-VIIIa
aac(3)-VIIa,aminoglycoside N-acetyltransferase AAC(3)-VIIa,aminoglycoside N-acetyltransferase AAC(3)-VIIa,AMINOGLYCOSIDE,n-acetyltransferase,aac(3)-VIIa
aac(3)-VIa,aminoglycoside N-acetyltransferase AAC(3)-VIa,aminoglycoside N-acetyltransferase AAC(3)-VIa,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-VIa
aac(3)-XI,aminoglycoside N-acetyltransferase AAC(3)-XI,aminoglycoside N-acetyltransferase AAC(3)-XI,AMINOGLYCOSIDE,n-acetyltransferase,aac(3)-XI
aac(3)-Xa,aminoglycoside N-acetyltransferase AAC(3)-Xa,aminoglycoside N-acetyltransferase AAC(3)-Xa,AMINOGLYCOSIDE,n-acetyltransferase,aac(3)-Xa
aac(6')_Yersi,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_Yersi
aac(6')-set_A,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-set_A
aacA-STR-10,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-STR-10
aac(6')_Serra,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_Serra
aac(6')_Ia_fam,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_Ia_fam
aac(6')_Strep,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_Strep
aacA-STR-15,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-STR-15
aacA-STR-13,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-STR-13
aacA-STR-7,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-STR-7
aac(6')_Steno,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_Steno
aac(6')-32,aminoglycoside N-acetyltransferase AAC(6')-32,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-32
aac(6')-33,aminoglycoside 6'-N-acetyltransferase AAC(6')-33,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-33
aac(6')-I30,aminoglycoside 6'-N-acetyltransferase AAC(6')-I30,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-I30
aac(6')-Iaa,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaa,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iaa
aac(6')-Iae,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iae
aac(6')-Iaf,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaf,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iaf
aac(6')-Iai,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iai,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iai
aac(6')-Iaj,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaj,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iaj
aac(6')-Ial,aminoglycoside N-acetyltransferase AAC(6')-Ial,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ial
aac(6')-Ic,aminoglycoside N-acetyltransferase AAC(6')-Ic,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ic
aac(6')-Isa,aminoglycoside N-acetyltransferase AAC(6')-Isa,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Isa
aac(6')-Iy,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iy,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iy
aacA16,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16,nan,AMINOGLYCOSIDE,n-acetyltransferase,aacA16
aacA47,aminoglycoside 6'-N-acetyltransferase AacA47,nan,AMINOGLYCOSIDE,n-acetyltransferase,aacA47
aacA56,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA56,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA56
aac(6')-29,aminoglycoside 6'-N-acetyltransferase AAC(6')-29,aminoglycoside 6'-N-acetyltransferase AAC(6')-29,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-29
aac(6')-29a,aminoglycoside N-acetyltransferase AAC(6')-29a,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-29a
aac(6')-29b,aminoglycoside N-acetyltransferase AAC(6')-29b,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-29b
aac(6')-30,aminoglycoside 6'-N-acetyltransferase AAC(6')-30,aminoglycoside 6'-N-acetyltransferase AAC(6')-30,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-30
"aac(6')-30,aac(6')-Ib'",bifunctional aminoglycoside N-acetyltransferase AAC(6')-30/aminoglycoside N-acetyltransferase AAC(6')-Ib',nan,AMINOGLYCOSIDE|AMINOGLYCOSIDE/GENTAMICIN,NA,"aac(6')-30,aac(6')-Ib'"
aac(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-31
aac(6')-35,aminoglycoside 6'-N-acetyltransferase AAC(6')-35,aminoglycoside 6'-N-acetyltransferase AAC(6')-35,AMINOGLYCOSIDE|KANAMYCIN,n-acetyltransferase,aac(6')-35
aac(6')-D292,aminoglycoside 6'-N-acetyltransferase AAC(6')-D292,aminoglycoside 6'-N-acetyltransferase AAC(6')-D292,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-D292
aac(6')-D42,aminoglycoside 6'-N-acetyltransferase AAC(6')-D42,aminoglycoside 6'-N-acetyltransferase AAC(6')-D42,AMINOGLYCOSIDE|KANAMYCIN,n-acetyltransferase,aac(6')-D42
aac(6')_E111,aminoglycoside 6'-N-acetyltransferase AAC(6')-E111,aminoglycoside 6'-N-acetyltransferase AAC(6')-E111,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E111
aac(6')_E141,aminoglycoside 6'-N-acetyltransferase AAC(6')-E141,aminoglycoside 6'-N-acetyltransferase AAC(6')-E141,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E141
aac(6')_E449,aminoglycoside 6'-N-acetyltransferase AAC(6')-E449,aminoglycoside 6'-N-acetyltransferase AAC(6')-E449,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E449
aac(6')_E526,aminoglycoside 6'-N-acetyltransferase AAC(6')-E526,aminoglycoside 6'-N-acetyltransferase AAC(6')-E526,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E526
aac(6')_E550,aminoglycoside 6'-N-acetyltransferase AAC(6')-E550,aminoglycoside 6'-N-acetyltransferase AAC(6')-E550,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E550
aac(6')_E553,aminoglycoside 6'-N-acetyltransferase AAC(6')-E553,aminoglycoside 6'-N-acetyltransferase AAC(6')-E553,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E553
aac(6')_E606,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E606
aac(6')_E64,aminoglycoside 6'-N-acetyltransferase AAC(6')-E64,aminoglycoside 6'-N-acetyltransferase AAC(6')-E64,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_E64
aac(6')_E657,aminoglycoside 6'-N-acetyltransferase AAC(6')-E657,aminoglycoside 6'-N-acetyltransferase AAC(6')-E657,AMINOGLYCOSIDE|TOBRAMYCIN,n-acetyltransferase,aac(6')_E657
aac(6')_E963,aminoglycoside 6'-N-acetyltransferase AAC(6')-E963,aminoglycoside 6'-N-acetyltransferase AAC(6')-E963,AMINOGLYCOSIDE|KANAMYCIN/TOBRAMYCIN,n-acetyltransferase,aac(6')_E963
aac(6')-F309,aminoglycoside 6'-N-acetyltransferase AAC(6')-F309,aminoglycoside 6'-N-acetyltransferase AAC(6')-F309,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-F309
aac(6')-F72,aminoglycoside 6'-N-acetyltransferase AAC(6')-F72,aminoglycoside 6'-N-acetyltransferase AAC(6')-F72,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-F72
aacA-ACI1,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA-ACI1
aacA-ACI5,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA-ACI5
aacA-ACI4,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA-ACI4
aacA-ACI6,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA-ACI6
aac(6')_Acine,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_Acine
aacA-ACI7,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA-ACI7
aacA-ACI3,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA-ACI3
aacA-ACI2,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aacA-ACI2
aacA-ENT1,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-ENT1
aacA-ENT4,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-ENT4
aac(6')_Entco,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')_Entco
aacA-ENT3,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-ENT3
aacA-ENT2,aminoglycoside 6'-N-acetyltransferase,aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aacA-ENT2
aac(6')-Ig,aminoglycoside N-acetyltransferase AAC(6')-Ig,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ig
aac(6')-Ih,aminoglycoside N-acetyltransferase AAC(6')-Ih,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ih
aac(6')-Ii,aminoglycoside N-acetyltransferase AAC(6')-Ii,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ii
aac(6')-Iid,aminoglycoside N-acetyltransferase AAC(6')-Iid,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iid
aac(6')-Iih,aminoglycoside N-acetyltransferase AAC(6')-Iih,nan,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iih
aac(6')-Ij,aminoglycoside N-acetyltransferase AAC(6')-Ij,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ij
aac(6')-Ik,aminoglycoside N-acetyltransferase AAC(6')-Ik,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ik
aac(6')-Ir,aminoglycoside N-acetyltransferase AAC(6')-Ir,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ir
aac(6')-Is,aminoglycoside N-acetyltransferase AAC(6')-Is,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Is
aac(6')-It,aminoglycoside N-acetyltransferase AAC(6')-It,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-It
aac(6')-Iu,aminoglycoside N-acetyltransferase AAC(6')-Iu,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iu
aac(6')-Iv,aminoglycoside N-acetyltransferase AAC(6')-Iv,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iv
aac(6')-Iw,aminoglycoside N-acetyltransferase AAC(6')-Iw,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iw
aac(6')-Ix,aminoglycoside N-acetyltransferase AAC(6')-Ix,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ix
aac(6')-IIb,aminoglycoside N-acetyltransferase AAC(6')-IIb,nan,AMINOGLYCOSIDE|GENTAMICIN/KANAMYCIN/TOBRAMYCIN,n-acetyltransferase,aac(6')-IIb
aacA35,AAC(6')-II family aminoglycoside 6'-N-acetyltransferase AacA35,nan,AMINOGLYCOSIDE|GENTAMICIN/KANAMYCIN/TOBRAMYCIN,n-acetyltransferase,aacA35
aac(6')-III,tobramycin N-acetyltransferase AAC(6')-III,tobramycin N-acetyltransferase AAC(6')-III,AMINOGLYCOSIDE|TOBRAMYCIN,n-acetyltransferase,aac(6')-III
aac(6')-IIa,aminoglycoside N-acetyltransferase AAC(6')-IIa,aminoglycoside N-acetyltransferase AAC(6')-IIa,AMINOGLYCOSIDE|GENTAMICIN/KANAMYCIN/TOBRAMYCIN,n-acetyltransferase,aac(6')-IIa
aac(6')-IIc,aminoglycoside N-acetyltransferase AAC(6')-IIc,aminoglycoside N-acetyltransferase AAC(6')-IIc,AMINOGLYCOSIDE|GENTAMICIN/KANAMYCIN/TOBRAMYCIN,n-acetyltransferase,aac(6')-IIc
aac(6')-Ia,aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia,aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ia
aac(6')-Iad,aminoglycoside N-acetyltransferase AAC(6')-Iad,aminoglycoside N-acetyltransferase AAC(6')-Iad,AMIKACIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iad
aac(6')-Iak,aminoglycoside N-acetyltransferase AAC(6')-Iak,aminoglycoside N-acetyltransferase AAC(6')-Iak,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iak
aac(6')-Ian,aminoglycoside N-acetyltransferase AAC(6')-Ian,aminoglycoside N-acetyltransferase AAC(6')-Ian,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ian
aac(6')-Ian,aminoglycoside N-acetyltransferase AAC(6')-Ian,aminoglycoside N-acetyltransferase AAC(6')-Ian,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ian
aac(6')-Iap,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iap,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iap,AMIKACIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Iap
aac(6')-Ib-AGKT,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ib-AGKT
aac(6')-Ib-AKT,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ib-AKT
aac(6')-Ib-W104R,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ib-W104R
aac(6')-Ib-D181Y,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ib-D181Y
aac(6')-Ib-generic,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ib-generic
aac(6')-Ib-G,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(6')-Ib-G
aac(6')-Ib-K,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMINOGLYCOSIDE|KANAMYCIN,n-acetyltransferase,aac(6')-Ib-K
aac(6')-Ib3,aminoglycoside N-acetyltransferase AAC(6')-Ib3,nan,AMIKACIN/KANAMYCIN/TOBRAMYCIN|AMINOGLYCOSIDE,n-acetyltransferase,aac(6')-Ib3
